,単語,再翻訳,類似度_claude
300,差金,カーペンターズスクエア,100%
301,水平器,レベル,100%
302,墨さし,インクマーカー/インクブラシ,100%
303,墨つぼ,チョークライン / インク壺,100%
304,"丸セパレーター
（丸セパ）",丸型セパレーター（スペーサー）,100%
305,天端釘,レベリングネイル/トップレベルネイル,100%
306,ケレン,チッピング/スクレーピング（ケレン）,100%
307,型枠支保工,型枠サポート,100%
308,"基礎型枠
（メタルフォーム）",基礎型枠（金属型枠）,100%
309,釘仕舞い,ネイルフィニッシュ/ネイルセット,100%
310,スラブ天端,スラブトップレベル,100%
311,高さ（タッパ）,身長,60%
312,建込み,設定/インストール,100%
313,通り,ライン/アライメント,100%
314,蹴上げ,ライザー（階段）,100%
315,蹴込み,トレッドノーズ/キックインボード,100%
316,工具の手入れ,ツールのメンテナンス,100%
317,下げ振り,プランボブ,100%
318,地墨,ベンチマークライン/グラウンドマーク,100%
319,捨てコンクリート,目くらましのコンクリート,100%
320,はね出し,オーバーハング/カンチレバー,100%
321,はらみ,膨らんだ,100%
322,前面,正面 / 対面,90%
323,養生,保護/硬化,100%
324,レベル,レベル,100%
325,割付,レイアウト/間隔,100%
326,埋め込み金物,埋め込み金具,100%
327,解体する（バラス）,解体/撤去,100%
328,かぶり寸法,コンクリートかぶり厚さ,100%
329,異形棒鋼,異形鉄筋,100%
330,結束線,結束ワイヤー,100%
331,結束工具,結束具 / ツイスター,100%
332,鉄筋切断機,鉄筋カッター,100%
333,鉄筋曲げ加工機,鉄筋曲げ機,100%
334,アンカー,アンカー,100%
335,加工場,製造ヤード,100%
336,スペーサ―,スペーサー,100%
337,ドーナツ,ドーナツスペーサー,100%
338,加工配筋図,鉄筋製作図,100%
339,配筋詳細図,鉄筋詳細図,100%
340,開口補強筋,オープニング強化,100%
341,幅止め筋,スペーサーバー（幅キーパー）,100%
342,差筋,ダボバー,100%
343,柱主筋,メインカラムバー,100%
344,柱配筋,柱の補強,100%
345,スラブ筋,スラブ補強,100%
346,ベース筋,基礎補強,100%
347,帯筋（フープ）,フープ/タイ,100%
348,下端筋,下部バー,100%
349,上端筋,トップバー,100%
350,主筋,メインバー,100%
351,あばら筋,あぶみ,100%
352,はかま筋,ハウンチバー,100%
353,縦筋,縦棒,100%
354,下筋,下のバー,100%
355,横筋,横バー,100%
356,腹筋,配信バー（Webバー）,100%
357,配力筋,流通強化,100%
358,上筋,上部バー,100%
359,スパイラル筋,スパイラル補強,100%
360,鉄筋径,鉄筋直径,100%
361,かぶり厚さ,カバー厚,100%
362,ℝ度,R（半径）サイズ,100%
363,シングル,シングル,100%
364,ダブル,ダブル,100%
365,千鳥結束,ずらし結び,100%
366,切断寸法,カット長さ,100%
367,加工寸法,製作長さ,100%
368,重ね継手,ラップスプライス,100%
369,圧接継手,圧力溶接スプライス,100%
370,開口部,オープニング,100%
371,溶接金網,溶接金網,100%
372,搬出,持ち出す/発送する,100%
373,搬入,持ち込み・配達,100%
374,基礎,財団,95%
375,機械式継手,メカニカルスプライス,100%
376,配筋検査,鉄筋検査,100%
377,トラクタ,トラクター,100%
378,ブルドーザ,ブルドーザー,100%
379,トラクタショベル,トラックローダー,100%
380,ホイルローダ,ホイールローダー,100%
381,ダンプトラック,ダンプトラック,100%
382,油圧ショベル,油圧ショベル,100%
383,バックホウ,バックホー,100%
384,ローディングショベル,ローディングショベル,100%
385,ローラ,ローラー,100%
386,バケット,バケツ,100%
387,ブーム,ブーム,100%
388,アーム,アーム,100%
389,ブレード（排土板）,ブレード（ドーザーブレード）,100%
390,タイヤ,タイヤ,100%
391,クローラ,トラック/クローラー,100%
392,キー（鍵）,鍵,100%
393,"作業装置
（アタッチメント）",添付ファイル,80%
394,エンジン,エンジン,100%
395,ディーゼルエンジン,ディーゼルエンジン,100%
396,エンジンオイル,エンジンオイル,100%
397,"オルタネータ
（充電発電機）",オルタネーター,100%
398,バッテリ,バッテリー,100%
399,燃料,燃料,100%
400,軽油,ディーゼル燃料,100%
401,ブレーキ,ブレーキ,100%
402,油圧シリンダ,油圧シリンダー,100%
403,油圧モータ,油圧モーター,100%
