,単語,再翻訳
100,地震,地震
101,もぐる,潜る / 潜る
102,火気厳禁,火気厳禁
103,開放厳禁,閉じたままにしてください / 開けないでください
104,標識,標識
105,気をつける,気をつけて
106,持ち込む,持ち込む
107,防ぐ,防ぐ
108,火,火（炎）
109,煙,煙
110,消火,消火/消火活動
111,消火器,消火器
112,非常ベル,警報ベル
113,火災報知機,火災警報
114,逃げる,逃げる
115,現場,作業現場
116,作業,仕事/タスク
117,ミーティング,ミーティング
118,研修（する）,トレーニング/トレーニング
119,実習（する）,実習・実習
120,あいさつ,挨拶
121,確認（する）,確認
122,報告（する）,報告
123,連絡（する）,連絡/通知
124,相談（する）,相談する
125,渡す,渡す
126,申請書,申込書
127,寝坊（する）,睡眠不足
128,技能,スキル
129,技能検定試験,技能試験/貿易試験
130,受検（する）,試験を受ける
131,資格,資格・証明書
132,手当,手当
133,社員,従業員
134,部長,ゼネラルマネージャー / 部門マネージャー
135,課長,課長
136,更衣室,更衣室・ロッカールーム
137,台車,手押し車/台車
138,床,床
139,出口,出口
140,電気,電気/電力
141,警報音,アラーム音
142,コンセント,電源コンセント/ソケット
143,作業場,作業エリア
144,作業台,作業台
145,工事現場,建設現場
146,職長,フォアマン
147,作業責任者,作業監督者・責任者
148,禁止,禁止
149,表示板,看板・表示板
150,禁止事項,禁止事項
151,避難訓練,避難訓練
152,感電（する）,感電 / 感電する
153,防止（する）,予防/防止
154,予防（する）,予防/防止
155,転倒（する）,秋 / 旅行
156,挟まる,詰まる/捕まる
157,足元,足元
158,不安定（な）,不安定
159,後片付け,後片付け/仕事後の掃除
160,救   箱,救急キット
161,絆創膏,包帯/絆創膏
162,体調,体調
163,血,血
164,熱中症,熱中症
165,吐き気,吐き気
166,嘔吐（する）,嘔吐
167,足がつる,脚のけいれん
168,気分が悪い,気分が悪い
169,寝不足,睡眠不足
170,安全ネット,セーフティネット
171,安全点検,安全検査
172,KY活動（危険予知活動）,KY活動（危険予測）
173,危険,危険
174,ぶつかる,ぶつかる/衝突する
175,当たる,ヒット/ストライク
176,下敷きになる,押さえつけられる
177,打つ,ヒット/ストライク
178,バランスを崩す,バランスを失う
179,倒れる,倒れる/崩壊する
180,転落（する）,高所からの落下
181,指差呼称,指差しと呼びかけ
182,ヒヤリハット,ニアミス
183,原因,原因
184,対策,対策
185,落下（する）,落下
186,墜落（する）,落下（高所から）/ 急降下
187,確認（する）,確認/チェック
188,作業着,作業服
189,作業服,作業服
190,作業靴,安全靴・作業靴
191,手袋,手袋
192,帽子,キャップ/帽子
193,保護帽（ヘルメット）,安全ヘルメット
194,保護具,PPE（個人用保護具）
195,あごひも,あごストラップ
196,ボタン,ボタン
197,ポケット,ポケット
198,保護メガネ,安全メガネ
199,マスク,マスク/呼吸器（文脈）
200,栓,プラグ/ストッパー
201,安全靴,安全靴
202,墜落制止用器具（安全帯）,墜落制止用器具（安全ベルト・ハーネス）
203,業務,業務 / 義務 / タスク
204,時間厳守,時間厳守
205,予定,スケジュール/計画
206,日付,日付
207,準備（する）,準備
208,会議,会議/カンファレンス
209,朝礼,朝礼／ツールボックスミーティング
210,報告書,報告
211,マニュアル,マニュアル
212,作業手順書,作業手順書
213,調子,状態/ステータス
214,立入禁止,立入り禁止
215,禁煙,禁煙
216,駐車禁止,駐車禁止
217,足もと注意,足もと注意
218,開口部注意,開口部 - 注意
219,感電注意,電気の危険 - 注意
220,堕落注意,落下の危険 - 注意
221,頭上注意,頭上危険 - 注意
222,警報設備,警報システム
223,AED設置場所,AEDの場所
224,保護帽着用,安全ヘルメットを着用してください
225,安全帯使用,安全ハーネスを使用する
226,昇降階段,アクセス階段
227,休憩所,休憩所
228,最大積載荷重,最大積載量
229,喫煙所,喫煙エリア
230,整理整頓,並べ替えと整頓
231,安全通路,安全な通路
232,三連クランプ,トリプルクランプ
233,"ベルトコンベア
（ベルコン）",ベルトコンベア
234,かけや,木槌（かけや）
235,ランマ,ハンドタンピングランマー
236,自在クランプ,スイベルクランプ
237,キャッチクランプ,キャッチクランプ
238,吊り上げ用クランプ,リフティングクランプ
239,直交クランプ,直角クランプ
240,フック,フック
241,ストレートシャックル,ストレートシャックル
242,滑車,ブロック/プーリー
243,クレーン,クレーン
244,移動式クレーン,移動式クレーン
245,介しゃくロープ,タグラインロープ
246,筋かい止めピン,ブレースピン
247,脚柱ジョイント,ポストジョイント
248,連結ピン,接続ピン
249,ジョイント金具,ジョイントフィッティング
250,レバーブロック,レバーホイスト（レバーブロック）
251,電動のこ（丸のこ）,丸鋸（電動）
252,モンキースパナ,モンキーレンチ
253,親綱支柱,ライフラインポスト
254,ブラケット,ブラケット
255,梯子,ラダー
256,親綱,ライフライン
257,建枠（ビティ）,フレーム足場（けんわく）
258,メッシュシート,メッシュシート（ネット）
259,防音パネル,防音パネル
260,朝顔材,キャノピーブラケット（デブリネットサポート）
261,架空線,架空線
262,幅木（仮設足場）,つま先板（足場）
263,単管,鋼管（単管）
264,脚立,踏み台
265,作業半径,作業半径
266,仮ボルト,仮ボルト
267,手直し,修正/タッチアップ
268,面一,フラッシュ（表面レベル）
269,点検事項,検査項目
270,積載荷重,耐荷重
271,すき間,ギャップ
272,通りを見る,アライメントを確認する
273,組立,組み立て/設置
274,地組,地上集合
275,天端,最上層 / 上面
276,玉掛け,スリング/リギング
277,合図,信号
278,定格荷重,定格荷重
279,たち,垂直性
280,安全帯,安全ベルト/ハーネス
281,インサート,入れる
282,スペーサ,スペーサー
283,鉄筋,鉄筋
284,電工ドラム（ドラム）,ケーブルリール/延長リール
285,電動丸のこ（電のこ）,丸鋸（電動）
286,パッキン,パッキン/ガスケット
287,小バール,小型バール
288,大バール,大型バール
289,化粧合板,装飾合板
290,普通合板,標準合板
291,スタイロフォーム,押出ポリスチレンフォーム
292,面木,面取りストリップ
293,バイブレーター,コンクリートバイブレーター
294,剥離剤,離型剤
295,けこみ板,ライザーボード
296,目地棒,ジョイントロッド/ダボ
297,コンクリート,コンクリート
298,コンベックス,巻尺（凸型）
299,作業用手袋,作業用手袋
