,単語,再翻訳,類似度_claude
0,翻訳サイネージ,多言語翻訳システム,80%
1,技能実習,技能実習,100%
2,技能実習生,技能実習生,100%
3,工場,工場,100%
4,製造,製造業,90%
5,機械,機械,100%
6,安全,安全性,95%
7,危険（な）,危険物,30%
8,危ない,危険な,100%
9,清掃,クリーニング,100%
10,非常口,非常口,100%
11,注意,注意,100%
12,火事,火,70%
13,事故,事故,100%
14,服装,服装,100%
15,安全装置,安全装置,100%
16,安全カバー,安全カバー/ガード,95%
17,けが,けが,100%
18,けがをする,怪我をする,100%
19,電源,電源,100%
20,電源を切る,電源を切る,100%
21,非常停止ボタン,緊急停止ボタン,100%
22,非常停止ボタンを押す,緊急停止ボタンを押してください,95%
23,ルール,ルール,100%
24,ルールを守る,ルールに従う,100%
25,止める,停止,100%
26,機械を止める,機械を停止する,100%
27,やって,やってみよう,70%
28,止めて,やめて,90%
29,取って,取ってこい / 持ってくる / 取る,75%
30,だめ（な）,許可されていません,100%
31,監理団体,監督組織,80%
32,技術移転,技術移転,100%
33,技能実習期間,技能実習期間,100%
34,職種,職種/職業,100%
35,在留資格,在留資格,100%
36,パスポート,パスポート,100%
37,在留カード,在留カード,100%
38,入管,移民（サービス）,100%
39,在留期間,滞在期間,100%
40,雇用契約,雇用契約,100%
41,給与明細,給与明細書,100%
42,給料,給与,95%
43,残業手当,残業手当,100%
44,労働時間,勤務時間,100%
45,控除（する）,控除/控除,100%
46,ボーナス,ボーナス,100%
47,有休,有給休暇,100%
48,代休,振替休日・代休,100%
49,労働基準法,労働基準法,100%
50,労働条件,労働条件,95%
51,税金,税金,95%
52,所得税,所得税,100%
53,住民税,住民税,100%
54,厚生年金,厚生年金保険,100%
55,雇用保険,雇用保険,100%
56,健康保険,健康保険,100%
57,社会保険,社会保険,100%
58,労災,労働災害,100%
59,労災保険,労災保険,100%
60,遅刻（する）,遅刻する,100%
61,早退（する）,早めに出発する,90%
62,休憩（する）,休憩する,95%
63,残業（する）,残業,100%
64,定時,固定労働時間 / 定時,100%
65,規則,規則/ルール,100%
66,休日,休日,100%
67,始業時間,開始時間,100%
68,終業時間,終了時間,100%
69,指導員,インストラクター/スーパーバイザー,100%
70,生活指導員,生活指導スタッフ,100%
71,担当者,担当者,100%
72,スイッチ入れるな,スイッチを入れないでください,100%
73,スイッチ切るな,スイッチをオフにしないでください,100%
74,使用禁止,使用禁止/使用禁止,100%
75,5S,5S（整理・整頓・清掃・清潔・しつけ）,100%
76,整理,選別,100%
77,整頓,整頓する,100%
78,清掃,輝き/清潔,100%
79,清潔,清潔さ,100%
80,しつけ,維持/規律,100%
81,掃除（する）,掃除/清掃,100%
82,片づける,片付ける,100%
83,捨てる,捨てる,90%
84,汚い,汚い,100%
85,汚れる,汚れる,100%
86,分別（する）,分別（廃棄物）,100%
87,燃えないごみ,燃えないゴミ,100%
88,燃えるごみ,可燃ごみ,100%
89,挟まれる,挟まれる,100%
90,巻き込まれる,絡まる/巻き込まれる,100%
91,やけど（する）,火傷（怪我）,100%
92,落ちる,秋,100%
93,すべる,スリップ,100%
94,転ぶ,倒れる,100%
95,濡れる,濡れる,100%
96,衛生,衛生,100%
97,避難（する）,避難,100%
98,救   車,救急車,100%
99,災害,災害,100%
