,単語,再翻訳
300,差金,カーペンターズスクエア
301,水平器,レベル
302,墨さし,インクマーカー/インクブラシ
303,墨つぼ,チョークライン / インク壺
304,"丸セパレーター
（丸セパ）",丸型セパレーター（スペーサー）
305,天端釘,レベリングネイル/トップレベルネイル
306,ケレン,チッピング/スクレーピング（ケレン）
307,型枠支保工,型枠サポート
308,"基礎型枠
（メタルフォーム）",基礎型枠（金属型枠）
309,釘仕舞い,ネイルフィニッシュ/ネイルセット
310,スラブ天端,スラブトップレベル
311,高さ（タッパ）,身長
312,建込み,設定/インストール
313,通り,ライン/アライメント
314,蹴上げ,ライザー（階段）
315,蹴込み,トレッドノーズ/キックインボード
316,工具の手入れ,ツールのメンテナンス
317,下げ振り,プランボブ
318,地墨,ベンチマークライン/グラウンドマーク
319,捨てコンクリート,目くらましのコンクリート
320,はね出し,オーバーハング/カンチレバー
321,はらみ,膨らんだ
322,前面,正面 / 対面
323,養生,保護/硬化
324,レベル,レベル
325,割付,レイアウト/間隔
326,埋め込み金物,埋め込み金具
327,解体する（バラス）,解体/撤去
328,かぶり寸法,コンクリートかぶり厚さ
329,異形棒鋼,異形鉄筋
330,結束線,結束ワイヤー
331,結束工具,結束具 / ツイスター
332,鉄筋切断機,鉄筋カッター
333,鉄筋曲げ加工機,鉄筋曲げ機
334,アンカー,アンカー
335,加工場,製造ヤード
336,スペーサ―,スペーサー
337,ドーナツ,ドーナツスペーサー
338,加工配筋図,鉄筋製作図
339,配筋詳細図,鉄筋詳細図
340,開口補強筋,オープニング強化
341,幅止め筋,スペーサーバー（幅キーパー）
342,差筋,ダボバー
343,柱主筋,メインカラムバー
344,柱配筋,柱の補強
345,スラブ筋,スラブ補強
346,ベース筋,基礎補強
347,帯筋（フープ）,フープ/タイ
348,下端筋,下部バー
349,上端筋,トップバー
350,主筋,メインバー
351,あばら筋,あぶみ
352,はかま筋,ハウンチバー
353,縦筋,縦棒
354,下筋,下のバー
355,横筋,横バー
356,腹筋,配信バー（Webバー）
357,配力筋,流通強化
358,上筋,上部バー
359,スパイラル筋,スパイラル補強
360,鉄筋径,鉄筋直径
361,かぶり厚さ,カバー厚
362,ℝ度,R（半径）サイズ
363,シングル,シングル
364,ダブル,ダブル
365,千鳥結束,ずらし結び
366,切断寸法,カット長さ
367,加工寸法,製作長さ
368,重ね継手,ラップスプライス
369,圧接継手,圧力溶接スプライス
370,開口部,オープニング
371,溶接金網,溶接金網
372,搬出,持ち出す/発送する
373,搬入,持ち込み・配達
374,基礎,財団
375,機械式継手,メカニカルスプライス
